fips,has_data_center,num_disasters
16077,0,0
16079,0,1
16081,0,0
16083,0,0
16085,0,0
16087,0,0
17001,0,0
17003,0,0
17005,0,0
17007,0,0
17009,0,0
17011,0,0
17013,0,0
17015,0,0
17017,0,0
17019,0,0
17021,0,0
17023,0,0
17025,0,0
17027,0,0
17029,0,0
17031,1,1
17033,0,0
17035,0,0
17037,1,0
17039,0,0
17041,0,0
17043,1,0
17045,0,0
17047,0,0
17049,0,0
17051,0,0
17053,0,0
17055,0,0
17057,0,1
17059,0,0
17061,0,0
17063,1,0
17065,0,0
17067,0,0
17069,0,0
17071,0,0
17073,0,1
17075,0,0
17077,0,0
17079,0,0
17081,0,0
17083,0,0
17085,0,0
17087,0,0
17089,1,0
17091,0,0
17093,1,0
17095,0,0
17097,0,0
17099,1,0
17101,0,0
17103,0,0
17105,0,0
17107,0,0
17109,0,0
17111,0,0
17113,0,0
17115,0,0
17117,0,0
17119,0,0
17121,0,0
17123,0,0
17125,0,0
17127,0,0
17129,0,0
17131,0,0
17133,0,0
17135,0,0
17137,0,0
17139,0,0
17141,0,0
17143,0,0
17145,0,0
17147,0,0
17149,0,0
17151,0,0
17153,0,0
17155,0,0
17157,0,0
17159,0,0
17161,0,0
17163,0,1
17165,0,0
17167,0,0
17169,0,0
17171,0,0
17173,0,0
17175,0,0
17177,0,0
17179,0,0
17181,0,0
17183,0,0
17185,0,0
17187,0,0
17189,0,1
17191,0,0
17193,0,0
17195,0,0
17197,1,1
17199,0,0
17201,0,1
17203,0,0
18001,0,0
18003,1,0
18005,1,0
18007,0,0
18009,0,0
18011,1,0
18013,1,0
18015,1,0
18017,0,0
18019,1,0
18021,0,0
18023,1,0
18025,0,0
18027,0,0
18029,0,0
18031,1,0
18033,0,0
18035,0,0
18037,0,0
18039,1,0
18041,0,0
18043,0,0
18045,0,0
18047,1,0
18049,0,0
18051,0,0
18053,0,0
18055,0,0
18057,1,0
18059,1,0
18061,0,0
18063,1,0
18065,0,0
18067,1,0
18069,0,0
18071,1,0
18073,0,0
18075,0,0
18077,0,0
18079,0,0
18081,0,0
18083,0,0
18085,1,0
18087,0,0
18089,1,0
18091,1,0
18093,0,0
18095,0,0
18097,1,0
18099,0,0
18101,0,0
18103,0,0
18105,0,0
18107,0,0
18109,1,0
18111,0,0
18113,0,0
18115,0,0
18117,0,0
18119,0,0
18121,0,0
18123,0,0
18125,0,0
18127,1,0
18129,0,0
18131,0,0
18133,0,0
18135,0,0
18137,1,0
18139,1,0
18141,1,0
18143,0,0
18145,1,0
18147,0,0
18149,0,0
18151,0,0
18153,0,0
18155,0,0
18157,1,0
18159,0,0
18161,0,0
18163,0,0
18165,0,0
18167,0,0
18169,0,0
18171,0,0
18173,0,0
18175,0,0
18177,0,0
18179,0,0
18181,0,0
18183,0,0
19001,1,1
19003,0,1
19005,0,0
19007,0,0
19009,0,0
19011,1,0
19013,0,0
19015,0,0
19017,0,0
19019,0,0
19021,0,2
19023,0,1
19025,0,1
19027,0,0
19029,0,0
19031,0,1
19033,0,0
19035,0,2
19037,0,0
19039,0,1
19041,0,2
19043,0,0
19045,0,0
19047,0,1
19049,1,1
19051,0,0
19053,0,0
19055,0,0
19057,0,1
19059,0,1
19061,1,1
19063,0,1
19065,0,0
19067,0,1
19069,0,1
19071,0,0
19073,0,0
19075,0,0
19077,1,0
19079,0,1
19081,0,1
19083,0,0
19085,0,3
19087,0,0
19089,0,1
19091,0,2
19093,0,0
19095,0,1
19097,0,2
19099,0,1
19101,0,0
19103,1,0
19105,0,0
19107,0,0
19109,0,2
19111,0,0
19113,1,0
19115,0,0
19117,0,0
19119,0,1
